Name,Organization
Jillian Baker,Cheticamp River Salmon Association
Luca Kordsmeyer,Cheticamp River Salmon Association
Adam Stewart,Cheticamp River Salmon Association
Thomas Sweeney,Nova Scotia Salmon Association
Fielding Montgomery,Canadian Wildlife Federation
Nick Mazany-Wright,Canadian Wildlife Federation
Nicolas Lapointe,Canadian Wildlife Federation
Courtney Brake,Canadian Wildlife Federation
Kris Hunter,Atlantic Salmon Federation
