Individual or Organization Name,Role and Primary Interest
Nova Scotia Department of Public Works,Local governmentdepartment that would be tasked with culvert replacement.
Cape Breton Highlands National Park,Support of field activities within theCheticampRiver watershedand permission to accesslocations within the park.
