Action ,Lead ,Support 
Review 2025-2026 model outputs (top-ranked structures) and draft a field plan ,CRSA,"CWF, ASF, NSSA"
Complete in-depth habitat confirmations for top-ranked data-deficient barriers  ,CRSA,NSSA
Assess up to 25 unassessed structures  ,CRSA,NSSA
Review field results and determine next steps for assessed structures ,CRSA,"CWF, ASF, NSSA"
Update connectivity models according to 2026 passage and habitat assessments ,CWF,
Update written components of WCRP ,CWF,CRSA
 ,,
