Name,Organization
Jillian Baker,CheticampRiver Salmon Association
Luca Kordsmeyer,CheticampRiver Salmon Association
Adam Stewart,CheticampRiver Salmon Association
Thomas Sweeny,Nova Scotia Salmon Association
Fielding Montgomery,Canadian Wildlife Federation
Nick Mazany-Wright,Canadian Wildlife Federation
Nicolas Lapointe,Canadian Wildlife Federation
Courtney Brake,Canadian Wildlife Federation
Kris Hunter,Atlantic Salmon Federation
